,ShoeName,Category,no_colors,price_reduce,price,product_code
334,Nike Air VaporMax 2021 Flyknit,Women,7.0,147.97,210.0,DZ5205-500
335,Jordan Nu Retro 1 Low,Women,1.0,84.97,105.0,DV5141-017
336,Nike Air Max Thea Premium,Women,3.0,73.97,120.0,FJ4576-100
337,"Air Jordan 5 ""Navy""",Women,1.0,210.0,210.0,FD6812-400
338,Nike Hyperdiamond 4 Pro MCS,Women,9.0,75.0,75.0,DC8990-002
339,Nike Air Force 1 '07 Mid,Women,1.0,125.0,125.0,DD9625-400
340,Nike Revolution 7,Women,1.0,59.97,70.0,FZ6829-002
341,Jordan Hex Mule,Women,1.0,52.97,65.0,DX6405-600
342,Nike Air Force 1 SP,Women,2.0,155.0,155.0,
343,Nike Air Force 1 '07 EasyOn,Women,2.0,115.0,115.0,DX5883-100
344,Nike Court Royale,Women,1.0,60.0,60.0,749867-105
345,Nike Dunk Low Premium MF,Women,3.0,120.0,120.0,DV7415-600
346,Chuck Taylor All Star Lift Platform Canvas,Women,1.0,70.0,70.0,560250F-001
347,Nike ISPA Universal,Women,3.0,80.0,80.0,DM0886-100
348,Nike Air Zoom Maxfly,Women,2.0,190.0,190.0,DH5359-100
349,Nike SB Force 58,Women,1.0,60.97,80.0,CZ2959-402
350,Freak 5 By You,Women,1.0,160.0,160.0,HF0004-900
351,Nike Air Adjust Force Unlocked By You,Women,6.0,210.0,210.0,FB2392-900
352,Nike Structure 24,Women,5.0,78.97,130.0,DA8570-600
353,Nike Air Force 1 High By You,Women,6.0,150.0,150.0,DZ3621-900
354,Nike Rival Distance,Women,5.0,75.0,75.0,DC8725-101
355,KD16 By infamouskayce,Women,1.0,190.0,190.0,FB2390-900
356,Jumpman MVP,Women,4.0,140.97,165.0,FB9019-700
357,Nike Triple Jump Elite 2,Women,2.0,135.0,135.0,AO0808-002
358,Nike Air Force 1 '07 LX,Women,1.0,84.97,120.0,DV3809-100
359,Freak 5 By You,Women,6.0,160.0,160.0,HF0004-900
360,Nike ACG Air Deschütz +,Women,1.0,67.97,75.0,DC9093-001
361,NikeCourt Vapor Lite 2,Women,3.0,72.97,85.0,DV2019-101
362,"Giannis Immortality 3 ""Nigeria x Greece""",Women,4.0,72.97,85.0,DZ7533-002
